name|translation|question|answer
08May_2010_Saturday_tagesschau-181|am tag gibt es viele wolken zunächst im westen und südwesten gebietsweise regen später in der mitte und im süden schauer vor allem im osten und südosten auch gewitter|Welche Wetterbedingungen werden zuerst erwartet und wann treten Schauer und Gewitter auf?|Zuerst sind viele Wolken und gebietsweise Regen im Westen und Südwesten zu erwarten, später treten Schauer vor allem im Osten und Südosten auf, auch Gewitter.
08May_2010_Saturday_tagesschau-182|im norden bleibt es längere zeit trocken|Wie lange bleibt es im Norden trocken?|Es bleibt längere Zeit trocken.
08May_2010_Saturday_tagesschau-183|der wind weht meist schwach in schauer und gewitternähe keine kräftig auffrischen örtlich sind sturmböen möglich|Wie ist der Wind in der Nähe von Schauern und Gewittern normalerweise?|Der Wind weht meist schwach, aber örtlich sind Sturmböen möglich.
08May_2010_Saturday_tagesschau-184|heute nacht neun bis drei grad bei längerem aufklaren nahe null grad|Was sind die erwarteten Temperaturen heute Nacht?|Neun bis drei Grad, bei längerem Aufklaren nahe null Grad.
08May_2010_Saturday_tagesschau-185|an den küsten morgen kühle zehn grad im südosten deutlich wärmer bis einundzwanzig grad|Was wird morgen an den Küsten erwartet?|Morgen werden an den Küsten kühle zehn Grad erwartet.
08May_2010_Saturday_tagesschau-186|dort wird es in der neuen woche noch etwas wärmer im norden bleibt es weiterhin kühl|Was passiert in der neuen Woche im Norden?|Im Norden bleibt es weiterhin kühl.
08May_2010_Saturday_tagesschau-187|das ganze bei vielen wolken die regen zum teil noch kräftige schauer und gewitter bringen|Was bringen die kräftigen Schauer und Gewitter bei vielen Wolken?|Sie bringen Regen.
08May_2010_Saturday_tagesschau-188|an diesem unbeständigen wetter ändert sich bis mittwoch wenig|Was wird sich bis Mittwoch ändern?|Bis Mittwoch ändert sich wenig.
23February_2010_Tuesday_tagesschau-189|und nun die wettervorhersage für morgen mittwoch den vierundzwanzigsten februar|Wann ist die Wettervorhersage, die erwähnt wird?|Am Mittwoch, den vierundzwanzigsten Februar.
23February_2010_Tuesday_tagesschau-190|tiefer luftdruck bestimmt unser wetter|Was bestimmt unser Wetter?|Tiefer Luftdruck bestimmt unser Wetter.
23February_2010_Tuesday_tagesschau-191|auch an den küsten deutschlands setzt sich wieder unbeständiges wetter durch|Was passiert gerade an den Küsten Deutschlands?|Unbeständiges Wetter setzt sich durch.
23February_2010_Tuesday_tagesschau-192|dort im norden bleibt es noch relativ kalt sonst ist es recht mild|Wie ist das Wetter im Norden im Vergleich zu anderen Regionen?|Im Norden bleibt es noch relativ kalt, während es in anderen Regionen recht mild ist.
23February_2010_Tuesday_tagesschau-193|auch in den kommenden tagen dauert das wechselhafte wetter an|Wie lange wird das wechselhafte Wetter andauern?|Es wird auch in den kommenden Tagen andauern.
23February_2010_Tuesday_tagesschau-194|im norden heute nacht lücken in der wolkendecke sonst regnet es hier und da vom emsland bis nach brandenburg teilweise schnee beziehungsweise gefrierender regen|Was wird heute Nacht im Norden erwartet?|Heute Nacht werden im Norden Lücken in der Wolkendecke erwartet.
23February_2010_Tuesday_tagesschau-196|der wind weht schwach bis mäßig an der see auch frisch|Wie stark weht der Wind an der See?|Der Wind weht schwach bis mäßig.
23February_2010_Tuesday_tagesschau-197|heute nacht acht grad am oberrhein minus sieben grad an der ostsee|Was sind die erwarteten Temperaturen heute Nacht am Oberrhein und an der Ostsee?|Am Oberrhein sind es acht Grad, an der Ostsee minus sieben Grad.
23February_2010_Tuesday_tagesschau-198|am tag dann vierzehn grad im breisgau und ein grad ganz im norden|Wie hoch war die Temperatur im Breisgau tagsüber?|Vierzehn Grad.
23February_2010_Tuesday_tagesschau-199|die aussichten auch am donnerstag regnet es gebietsweise vor allem in der südosthälfte zeigt sich auch die sonne|Wann regnet es gebietsweise laut den Aussichten?|Am Donnerstag.
23February_2010_Tuesday_tagesschau-201|am freitag ist es meist stark bewölkt und es regnet zeitweise|Was passiert am Freitag mit dem Wetter?|Am Freitag ist es meist stark bewölkt und es regnet zeitweise.
23February_2010_Tuesday_tagesschau-202|am samstag schauer teilweise bis in tiefere lagen schnee|Wann wird es schneien?|Am Samstag.
24September_2010_Friday_tagesschau-203|und nun die wettervorhersage für morgen samstag den fünfundzwanzigsten september|Für welchen Tag wird die Wettervorhersage gegeben?|Für morgen, Samstag, den fünfundzwanzigsten September.
24September_2010_Friday_tagesschau-204|über mitteleuropa liegt eine umfangreiche tiefdruckzone die vor allem dem osten und süden deutschlands zum teil ergiebige regenfälle bringt|Welche Region Deutschlands erhält die regenbringende Wirkung der tiefdruckzone?|Der Osten und Süden Deutschlands.
24September_2010_Friday_tagesschau-205|die hochs westlich und östlich davon haben auf unser wetter kaum noch einfluss|Welchen Einfluss haben die Hochs auf unser Wetter?|Die Hochs haben kaum noch Einfluss auf unser Wetter.
24September_2010_Friday_tagesschau-206|heute nacht sind anfangs noch einige kräftige schauer und gewitter unterwegs im süden und südosten setzt teilweise ergiebiger dauerregen ein|Was wird heute Nacht im Süden und Südosten erwartet?|Heute Nacht werden kräftige Schauer und Gewitter sowie teilweiser ergiebiger Dauerregen erwartet.
24September_2010_Friday_tagesschau-207|richtung nordwesten reißt die wolkendecke auch mal auf|Wann reißen die Wolken im Nordwesten auf?|Die Wolken reißen auch mal auf.
24September_2010_Friday_tagesschau-208|auch morgen im westen und nordwesten immer wieder wolkenlücken und einzelne schauer im süden später auch im osten fällt verbreitet teilweise länger anhaltender und kräftiger regen|Wo wird es morgen im Westen und Nordwesten wolkenlücken geben?|Morgen im Westen und Nordwesten wird es immer wieder wolkenlücken geben.
24September_2010_Friday_tagesschau-209|zu beginn der nacht sind bei schauern und gewittern starke bis stürmische böen möglich|Was passiert zu Beginn der Nacht bei Schauern und Gewittern?|Starke bis stürmische Böen sind möglich.
24September_2010_Friday_tagesschau-210|morgen schwacher bis mäßiger wind aus west bis nordwest|Wann wird der Wind schwach bis mäßig sein?|Morgen.
24September_2010_Friday_tagesschau-211|am alpenrand heute nacht sieben im nordosten noch bis dreizehn grad|Welche Temperatur wird für die Nacht am Alpenrand im Nordosten erwartet?|Bis dreizehn Grad.
24September_2010_Friday_tagesschau-212|dort morgen immerhin noch milde zwanzig sonst zehn bis siebzehn grad|Wie viele Grad werden dort morgen erwartet?|Morgen werden dort immerhin noch milde zwanzig Grad erwartet.
24September_2010_Friday_tagesschau-213|am sonntag im westen und süden neben einzelnen schauern auch etwas sonnenschein|Was wird am Sonntag im Westen und Süden erwartet?|Am Sonntag werden neben einzelnen Schauern auch etwas Sonnenschein erwartet.
24September_2010_Friday_tagesschau-214|sonst viele wolken und gebietsweise ergiebiger regen|Was ist das Wetterbericht zu den Wolken und dem Regen?|Es gibt viele Wolken und gebietsweise ergiebigen Regen.
24September_2010_Friday_tagesschau-215|auch in der neuen woche unbeständig und noch kühler|Wie wird das Wetter in der neuen Woche sein?|Es wird unbeständig und noch kühler sein.
24September_2010_Friday_tagesschau-216|im osten wird es windig|Wann wird es im Osten windig?|Es wird im Osten windig, wenn die Wetterbedingungen sich ändern.
24November_2011_Thursday_heute-217|guten abend liebe zuschauer|Wann sagt man normalerweise 'guten Abend'?|Man sagt 'guten Abend' normalerweise am Abend.
24November_2011_Thursday_heute-218|morgen wird es wohl sonniger werden und die nebelfelder wie hier im allgäu werden sich so ein bisschen zurückziehen letztendlich|Wann wird es wohl sonniger werden?|Morgen wird es wohl sonniger werden.
24November_2011_Thursday_heute-219|aber wir erwarten auch regen den vor allem für norddeutschland da zieht heute nacht von westen her ein regenband auf wird uns aber erst morgen nachmittag im nordwesten erreichen|Wann wird der Regen im Nordwesten erwartet?|Der Regen wird erst morgen Nachmittag im Nordwesten erwartet.
24November_2011_Thursday_heute-220|davor nochmal viel sonnenschein weniger nebelfelder das ist die gute nachricht|Was ist die gute Nachricht im Satz?|Es wird viel Sonnenschein und weniger Nebelfelder geben.
24November_2011_Thursday_heute-221|heute nacht allerdings im süden noch keine entwarnung dicker nebel weiterhin sichtweiten hundert oder nur fünfzig meter|Was ist die Sichtweite heute Nacht im Süden?|Die Sichtweiten sind hundert oder nur fünfzig Meter.
24November_2011_Thursday_heute-225|im süden deutlich kühler nur am alpenrand mit sonne zehn sonst im nebel frostig und diese nebelfelder naja sie schrumpfen ein bisschen und halten sich wahrscheinlich noch im östlichen bayern an der donau auf auch noch südlich der donau|Wo ist es kühler und wo bleibt der Nebel wahrscheinlich bestehen?|Im Süden, am Alpenrand ist es kühler, und der Nebel hält sich wahrscheinlich noch im östlichen Bayern an der Donau auf, auch südlich der Donau.
24November_2011_Thursday_heute-226|sonst aber viel sonnenschein morgen den es gibt bevor der regen dann aufzieht an der nordsee das ist am nachmittag der fall und dann wird auch der wind wieder kräftiger|Was wird morgen vor dem Regen an der Nordsee sein?|Viel Sonnenschein.
24November_2011_Thursday_heute-227|samstag dann wieder weniger wind es ist trocken aber sonntag da fegen dann sturm und orkanböen durch norddeutschland wahrscheinlich auch durch die weihnachtsmärkte im süden dagegen schönes wetter mit sonnenschein|Was wird am Sonntag in Norddeutschland erwartet?|Am Sonntag werden Sturm und Orkanböen erwartet.
24November_2011_Thursday_heute-228|ihnen einen schönen abend und machen sie es gut|Was wird ihnen gewünscht?|Ein schöner Abend.
19October_2009_Monday_tagesschau-230|das meist trockene und verbreitet freundliche herbstwetter setzt sich morgen bei uns fort|Wann setzt sich das trockene und freundliche Herbstwetter fort?|Morgen.
19October_2009_Monday_tagesschau-231|verantwortlich dafür ist das hoch über dem osten europas|Wer ist verantwortlich dafür?|Es ist das Hoch über dem Osten Europas.
19October_2009_Monday_tagesschau-232|gleichzeitig gelangt von südwesten mildere luft nach deutschland die temperaturen steigen leicht an|Wann erreicht die mildere Luft Deutschland?|Sie gelangt gleichzeitig von Südwesten nach Deutschland.
19October_2009_Monday_tagesschau-235|morgen hält sich im osten und süden teilweise zäher nebel oder hochnebel|Wann wird im Osten und Süden teilweise zäher Nebel oder Hochnebel erwartet?|Morgen.
19October_2009_Monday_tagesschau-236|im übrigen land setzt sich die sonne durch später wird es ganz im osten sowie im äußersten westen etwas wolkiger|Wann wird es im äußersten Westen etwas wolkiger?|Später, nachdem sich die Sonne im übrigen Land durchgesetzt hat.
19October_2009_Monday_tagesschau-238|heute nacht kühlt es ab auf werte zwischen plus fünf grad an der nordsee und minus sieben im allgäu|Auf welche Temperaturen kühlt es heute Nacht ab?|Auf Werte zwischen plus fünf Grad an der Nordsee und minus sieben Grad im Allgäu.
19October_2009_Monday_tagesschau-239|morgen reichen die höchsttemperaturen von sieben grad im vogtland bis vierzehn grad im breisgau|Was ist die höchste Temperatur im Breisgau?|Die höchste Temperatur im Breisgau ist vierzehn Grad.
19October_2009_Monday_tagesschau-240|die aussichten am mittwoch hält das freundliche wetter verbreitet an nur im westen kann es etwas regnen|Was wird am Mittwoch mit dem Wetter erwartet?|Am Mittwoch wird freundliches Wetter verbreitet erwartet, nur im Westen kann es etwas regnen.
19October_2009_Monday_tagesschau-241|am donnerstag nehmen die wolken zu regen fällt im süden und westen|Wann nehmen die Wolken zu und wo fällt Regen?|Am Donnerstag nehmen die Wolken zu, und Regen fällt im Süden und Westen.
19October_2009_Monday_tagesschau-242|der freitag wird dann überall recht wechselhaft|Wie wird das Wetter am Freitag sein?|Es wird recht wechselhaft sein.
12July_2010_Monday_heute-243|guten abend liebe zuschauer|Wann wird der Satz guten abend liebe zuschauer üblicherweise gesagt?|Der Satz wird üblicherweise am Abend gesagt.
12July_2010_Monday_heute-245|ja heute nachmittag sind schon diese heftigen gewitter sie sehen es hier an diesen starken regenechos nach norden weitergezogen und haben dann unwetter schon über schleswig holstein gebracht|Was ist heute Nachmittag mit den Gewittern passiert?|Sie haben sich nach Norden weitergezogen und Unwetter über Schleswig-Holstein gebracht.
12July_2010_Monday_heute-246|jetzt aber geht es weiter in der mitte von deutschland heftige gewitter die sich aufbauen und dabei auch noch neue gewitter jetzt die alpen verlassen|Was passiert jetzt in der Mitte von Deutschland?|Heftige Gewitter bauen sich auf.
12July_2010_Monday_heute-247|dreißig grad haben wir zur zeit noch südlich von berlin zweiundzwanzig grad in köln das ist der temperaturunterschied|Wie hoch ist die Temperatur in Köln zur Zeit?|Zweiundzwanzig Grad.
12July_2010_Monday_heute-248|und diese trockene luft die kommt langsam nach osten voran|Wohin kommt die trockene Luft langsam voran?|Nach Osten.
12July_2010_Monday_heute-249|heute nacht nur zögernd da haben wir noch die heftigen gewitter die weiter nach norden ziehen sich dann abschwächen in der zweiten nachthälfte|Was wird in der zweiten Nachthälfte mit den heftigen Gewittern passieren?|Sie werden sich abschwächen.
12July_2010_Monday_heute-250|im westen beruhigt sich später das ganze und wir haben wahrscheinlich jetzt in den nächsten stunden auch noch ein paar gewitter oben an der nordseeküste zu erwarten|Wann beruhigt sich das Wetter im Westen?|Später.
12July_2010_Monday_heute-251|morgen dann immer noch regen im osten und auch vielleicht einzelne gewitter|Wird es morgen im Osten immer noch regnen?|Ja, morgen wird es im Osten immer noch regnen.
12July_2010_Monday_heute-252|am vormittag aber im westen ist eine richtig wunderbare luft schon da|Wann ist die wunderbare Luft im Westen da?|Am Vormittag.
12July_2010_Monday_heute-253|also sonne und wolken wechseln sich ab die luft ist trockener da regnet es auch nicht mehr|Was passiert mit Sonne und Wolken im beschriebenen Wetter?|Sonne und Wolken wechseln sich ab.
12July_2010_Monday_heute-254|und am nachmittag haben wir chancen dass diese luft langsam auch berlin erreicht|Wann werden die Chancen erhöht, dass die Luft Berlin erreicht?|Am Nachmittag.
12July_2010_Monday_heute-255|es gibt dann nur noch vereinzelt am nachmittag mal irgendwo im osten schauer oder gewitter auch am alpenrand|Wann werden die Schauer oder Gewitter im Osten erwartet?|Am Nachmittag.
12July_2010_Monday_heute-256|und es ist ein bisschen kühler es ist erträglicher es sind fünfundzwanzig bis dreißig grad noch an nord und ostsee naja da haben luft und wasser dieselbe temperatur zwanzig bis zweiundzwanzig grad|Wie ist die Temperatur an Nord- und Ostsee beschrieben?|Die Temperatur an Nord- und Ostsee liegt bei zwanzig bis zweiundzwanzig Grad.
